nome,Cognome,votazione,gruppoVotazione
MARIANO,RABINO,si,SCpI
FAUSTO,RACITI,si,PD
MICHELE,RAGOSTA,si,PD
FABIO,RAMPELLI,-,FdI
ROBERTO,RAMPI,si,PD
LAURA,RAVETTO,-,FI-PdL
ERMETE,REALACCI,si,PD
FRANCESCO,RIBAUDO,si,PD
LARA,RICCIATTI,-,SI-SEL
MATTEO,RICHETTI,si,PD
ANDREA,RIGONI,si,PD
WALTER,RIZZETTO,-,FdI
GIANLUCA,RIZZO,-,M5S
EUGENIA MARIA,ROCCELLA,no,Misto
MARIA GRAZIA,ROCCHI,si,PD
GIUSEPPE,ROMANINI,si,PD
ANDREA,ROMANO,si,PD
FRANCESCO SAVERIO,ROMANO,si,Misto
PAOLO NICOLO',ROMANO,-,M5S
GIUSEPPE,ROMELE,-,FI-PdL
MARCO,RONDINI,-,Lega
ETTORE,ROSATO,si,PD
DOMENICO,ROSSI,si,DS-CD
PAOLO,ROSSI,si,PD
ANNA,ROSSOMANDO,si,PD
MICHELA,ROSTAN,si,PD
GESSICA,ROSTELLATO,si,PD
GIANFRANCO,ROTONDI,-,FI-PdL
ALESSIA,ROTTA,si,PD
SIMONETTA,RUBINATO,si,PD
ANGELO,RUGHETTI,si,PD
CARLA,RUOCCO,-,M5S
PAOLO,RUSSO,-,FI-PdL
BARBARA,SALTAMARTINI,-,Lega
GIANFRANCO,SAMMARCO,si,AP (NCD-UDC)
GIOVANNI,SANGA,si,PD
LUCA,SANI,-,PD
FRANCESCO,SANNA,si,PD
GIOVANNA,SANNA,si,PD
ARCANGELO,SANNICANDRO,-,SI-SEL
JOLE,SANTELLI,-,FI-PdL
MILENA,SANTERINI,si,DS-CD
CARLO,SARRO,-,FI-PdL
GIULIA,SARTI,-,M5S
ELVIRA,SAVINO,-,FI-PdL
SANDRA,SAVINO,-,FI-PdL
MARIO,SBERNA,si,DS-CD
DANIELA,SBROLLINI,si,PD
EMANUELE,SCAGLIUSI,-,M5S
IVAN,SCALFAROTTO,-,PD
GIAN PIERO,SCANU,si,PD
GEA,SCHIRO',si,PD
MANFRED,SCHULLIAN,-,Misto
ROSANNA,SCOPELLITI,si,AP (NCD-UDC)
ARTURO,SCOTTO,-,SI-SEL
CHIARA,SCUVERA,si,PD
SAMUELE,SEGONI,-,Misto
ANGELO,SENALDI,si,PD
MARINA,SERENI,si,PD
CAMILLA,SGAMBATO,si,PD
CARLO,SIBILIA,-,M5S
ROBERTO,SIMONETTI,-,Lega
ELISA,SIMONI,si,PD
FRANCESCO PAOLO,SISTO,-,FI-PdL
GIRGIS,SORIAL,-,M5S
